global_step,return
1000,-283.59136962890625
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-232.8853302001953
8000,-124.70588684082031
9000,-243.10484313964844
10000,-290.52593994140625
11000,-228.42385864257812
12000,55.62831497192383
13000,104.17526245117188
14000,-11.282149314880371
15000,-316.85125732421875
16000,1100.3890380859375
17000,1818.1317138671875
18000,667.1700439453125
19000,2331.251220703125
20000,2938.05126953125
21000,2765.418701171875
22000,3046.884765625
23000,3383.201171875
24000,3070.587890625
25000,1146.1539306640625
26000,3887.77197265625
27000,3704.16748046875
28000,3447.856689453125
29000,4302.388671875
30000,3880.01611328125
31000,3524.35595703125
32000,4004.77734375
33000,3930.053955078125
34000,4299.6904296875
35000,4466.37451171875
36000,4351.482421875
37000,4505.0908203125
38000,4665.220703125
39000,4623.2763671875
40000,4824.3974609375
41000,4049.971923828125
42000,4642.09619140625
43000,4820.955078125
44000,4772.259765625
45000,4671.71142578125
46000,4741.1904296875
47000,4903.54833984375
48000,4938.4443359375
49000,4972.4931640625
50000,4918.59912109375
51000,5116.43359375
52000,4940.31494140625
53000,4840.62255859375
54000,5097.3037109375
55000,5149.720703125
56000,4672.44189453125
57000,4755.3828125
58000,5092.62646484375
59000,5152.267578125
60000,5041.3076171875
61000,5350.05810546875
62000,4688.10693359375
63000,5093.5400390625
64000,5305.31201171875
65000,5386.7041015625
66000,5242.08203125
1000,-422.2958679199219
2000,-303.859375
3000,-423.4266357421875
4000,-328.9220275878906
5000,-331.9713439941406
6000,-88.65057373046875
7000,-229.36463928222656
