global_step,return
1000,-283.59136962890625
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-211.39955139160156
8000,-219.0068359375
9000,-286.40228271484375
10000,-236.63209533691406
11000,-174.81626892089844
12000,-179.0869903564453
13000,-200.32615661621094
14000,-55.31920623779297
15000,371.2974853515625
16000,473.6739501953125
17000,946.842041015625
18000,452.0194091796875
19000,1591.4508056640625
20000,466.5279235839844
21000,1870.308349609375
22000,1337.196533203125
23000,2038.9595947265625
24000,2398.705078125
25000,2304.924560546875
26000,2693.35546875
27000,2610.164306640625
28000,2748.5556640625
29000,3040.325439453125
30000,3305.20703125
31000,3160.009765625
32000,3231.0146484375
33000,3475.897216796875
34000,3463.793701171875
35000,3600.780029296875
36000,3573.8203125
37000,2837.132568359375
38000,4127.8671875
39000,3931.94287109375
40000,3791.51123046875
41000,4026.568115234375
42000,4326.06103515625
43000,2079.507080078125
44000,4324.81103515625
45000,3293.45361328125
46000,4531.07177734375
47000,4178.86962890625
48000,4550.59912109375
49000,1046.7099609375
50000,4311.7421875
51000,4464.98583984375
52000,4320.34423828125
53000,4663.12255859375
54000,4933.31396484375
55000,4861.99658203125
56000,4582.6064453125
57000,1184.54150390625
58000,5298.28466796875
59000,5239.8291015625
60000,5309.3447265625
61000,409.0604248046875
62000,4968.9404296875
63000,785.4556884765625
64000,5142.5
65000,72.6191177368164
66000,5209.07177734375
67000,4985.646484375
68000,5099.1376953125
69000,5165.84814453125
