global_step,return
1000,-283.59136962890625
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-167.07870483398438
8000,-124.24556732177734
9000,-226.77919006347656
10000,-254.9711151123047
11000,-290.9818420410156
12000,-272.330322265625
13000,-314.8810119628906
14000,-221.44671630859375
15000,-202.03794860839844
16000,-179.36810302734375
17000,-124.81259155273438
18000,-140.3296356201172
19000,55.27421188354492
20000,17.599218368530273
21000,-150.4117431640625
22000,9.513954162597656
23000,-0.05776742100715637
24000,-79.15957641601562
25000,-81.4165267944336
26000,-31.990997314453125
27000,-47.43828201293945
28000,-134.08689880371094
29000,-132.84434509277344
30000,-144.43528747558594
31000,-133.27117919921875
32000,-87.46363067626953
33000,-99.99288940429688
34000,-60.64379119873047
35000,63.684871673583984
