global_step,return
1000,-283.59136962890625
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-211.7541961669922
8000,-199.04347229003906
9000,-135.1586151123047
10000,-249.6896514892578
11000,-161.19229125976562
12000,-123.20870208740234
13000,-98.98998260498047
14000,380.2234802246094
15000,415.20513916015625
16000,38.71940231323242
17000,393.14080810546875
18000,439.4806213378906
19000,89.47062683105469
20000,1150.387451171875
21000,1858.9127197265625
22000,1051.0718994140625
23000,399.2625427246094
24000,1055.8992919921875
25000,856.5460205078125
26000,874.6874389648438
27000,2458.192626953125
28000,2491.4140625
