global_step,return
1000,-283.59136962890625
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-268.5644836425781
8000,-163.93736267089844
9000,-503.83294677734375
10000,-147.50772094726562
11000,-311.3741760253906
12000,-393.0694580078125
13000,205.0082550048828
14000,-104.70135498046875
15000,-39.085975646972656
16000,-73.79004669189453
17000,68.56137084960938
18000,90.3864974975586
19000,140.4009552001953
20000,220.68666076660156
21000,225.50634765625
22000,339.277099609375
23000,263.14117431640625
24000,360.5058288574219
25000,277.8484802246094
26000,354.77410888671875
27000,263.2208251953125
28000,438.8897705078125
29000,350.6483459472656
30000,490.71136474609375
31000,534.3267822265625
32000,423.6565856933594
33000,451.78594970703125
34000,465.1886291503906
35000,416.97271728515625
36000,407.55340576171875
37000,457.4446105957031
38000,447.94268798828125
39000,500.58685302734375
40000,401.4325866699219
41000,379.2032775878906
42000,396.12261962890625
