global_step,return
1000,-283.59136962890625
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-197.78860473632812
8000,-143.42120361328125
9000,-321.260986328125
10000,-214.8836212158203
11000,-196.4207763671875
12000,-355.7335205078125
13000,-295.56396484375
14000,206.10137939453125
15000,427.3130798339844
16000,1024.722900390625
17000,959.9556274414062
18000,2436.5888671875
19000,1888.65869140625
20000,119.70893096923828
21000,439.9326171875
22000,2865.289794921875
23000,1654.9686279296875
24000,1480.80712890625
25000,3714.4990234375
1000,-283.59136962890625
26000,207.58038330078125
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-232.8853302001953
8000,-124.70588684082031
9000,-243.10484313964844
10000,-290.52593994140625
11000,-228.42385864257812
12000,55.62831497192383
27000,3618.609130859375
13000,104.17526245117188
14000,-11.282149314880371
15000,-316.85125732421875
16000,1100.3890380859375
17000,1818.1317138671875
28000,1561.704833984375
18000,667.1700439453125
19000,2331.251220703125
20000,2938.05126953125
21000,2765.418701171875
29000,4157.2353515625
30000,3175.06884765625
31000,4221.16943359375
32000,136.72315979003906
33000,4106.62646484375
34000,3869.972900390625
35000,4263.10693359375
36000,2204.514404296875
37000,3943.008056640625
38000,2416.5595703125
39000,4392.39501953125
40000,4644.39306640625
41000,1108.780029296875
42000,1115.3968505859375
1000,-283.59136962890625
2000,-425.17236328125
3000,-266.56304931640625
4000,-189.18516540527344
5000,-283.5437927246094
6000,-77.13394165039062
7000,-232.8853302001953
8000,-124.70588684082031
9000,-243.10484313964844
10000,-290.52593994140625
43000,5015.169921875
11000,-228.42385864257812
12000,55.62831497192383
13000,104.17526245117188
14000,-11.282149314880371
44000,5248.44091796875
15000,-316.85125732421875
16000,1100.3890380859375
17000,1818.1317138671875
18000,667.1700439453125
45000,4897.810546875
19000,2331.251220703125
46000,5008.1396484375
47000,4987.22998046875
48000,5190.400390625
49000,5281.8046875
50000,4902.40869140625
51000,5063.15234375
52000,5157.9833984375
53000,4966.69140625
54000,5010.322265625
55000,5218.2412109375
56000,4600.33154296875
