global_step,return
200,-1391.892822265625
400,-1352.88232421875
600,-936.34033203125
800,-1275.80322265625
1000,-1248.936279296875
1200,-1480.7271728515625
1400,-1544.54541015625
1600,-1302.4150390625
1800,-1173.477783203125
2000,-1289.8387451171875
2200,-1362.446533203125
2400,-1285.70654296875
2600,-873.062255859375
2800,-1592.2825927734375
3000,-975.146240234375
3200,-878.84375
3400,-1521.17822265625
3600,-1046.9525146484375
3800,-861.3430786132812
4000,-969.6622314453125
4200,-1473.619873046875
4400,-1416.548583984375
4600,-870.81298828125
4800,-1641.6566162109375
5000,-836.3024291992188
5200,-879.4848022460938
5400,-973.4901733398438
5600,-920.1636352539062
5800,-983.7552490234375
6000,-1080.1055908203125
6200,-1362.5130615234375
6400,-1499.8289794921875
6600,-1445.11376953125
6800,-1415.6285400390625
7000,-1359.6761474609375
7200,-1104.6407470703125
7400,-904.32421875
7600,-1019.8466186523438
7800,-1091.06396484375
8000,-950.739990234375
8200,-246.17909240722656
8400,-370.4257507324219
8600,-128.2874298095703
8800,-294.7691650390625
9000,-121.72333526611328
9200,-121.90511322021484
9400,-255.0076446533203
9600,-125.70203399658203
9800,-126.8001480102539
10000,-126.07546997070312
10200,-236.32638549804688
10400,-1.3191728591918945
10600,-231.5550994873047
10800,-121.03350067138672
11000,-1.2693402767181396
11200,-127.14634704589844
11400,-120.98413848876953
11600,-338.3727722167969
11800,-126.9053726196289
12000,-118.78223419189453
12200,-118.39028930664062
12400,-127.26296997070312
12600,-117.51753997802734
12800,-116.6994857788086
13000,-122.06370544433594
13200,-118.02771759033203
13400,-2.755934715270996
13600,-232.32110595703125
13800,-120.93997955322266
14000,-117.09684753417969
14200,-115.73529815673828
14400,-231.50746154785156
14600,-119.55964660644531
14800,-2.7085540294647217
15000,-118.75192260742188
15200,-116.78423309326172
15400,-237.40216064453125
15600,-123.07533264160156
15800,-1.8574551343917847
16000,-1.7683889865875244
16200,-125.51957702636719
16400,-118.71534729003906
16600,-2.236976146697998
16800,-1.0257898569107056
17000,-223.0191192626953
17200,-124.83375549316406
17400,-364.8255310058594
17600,-122.96076202392578
17800,-228.52593994140625
18000,-1.545095682144165
18200,-236.0713653564453
18400,-115.67228698730469
18600,-1.235344648361206
18800,-233.3771514892578
19000,-124.7585220336914
19200,-118.2503662109375
19400,-116.2110366821289
19600,-236.52294921875
19800,-237.3612518310547
20000,-120.73200225830078
20200,-122.07118225097656
20400,-230.34642028808594
20600,-1.021680235862732
20800,-119.81707000732422
21000,-124.4668960571289
21200,-119.29103088378906
21400,-116.87773895263672
21600,-327.7671203613281
21800,-119.0619125366211
22000,-117.68597412109375
22200,-229.24102783203125
22400,-226.87106323242188
22600,-123.5030288696289
22800,-245.3628387451172
23000,-120.95353698730469
23200,-0.784132182598114
23400,-118.93533325195312
23600,-113.9628677368164
23800,-119.94613647460938
24000,-241.9706573486328
24200,-123.4477767944336
24400,-1.5145355463027954
24600,-123.35102844238281
24800,-117.7342529296875
25000,-4.352921485900879
25200,-128.99496459960938
25400,-4.045889854431152
25600,-1.3938182592391968
25800,-228.42596435546875
26000,-122.21488952636719
26200,-116.99063873291016
26400,-1.0566598176956177
26600,-116.6769790649414
26800,-3.2436559200286865
27000,-118.77955627441406
27200,-116.86590576171875
27400,-116.96551513671875
27600,-310.4779968261719
27800,-222.1804962158203
28000,-128.02542114257812
28200,-248.3396453857422
28400,-0.518772304058075
28600,-319.8703308105469
28800,-236.81106567382812
29000,-224.9972686767578
29200,-121.36306762695312
29400,-123.04256439208984
29600,-117.15465545654297
29800,-127.06396484375
30000,-119.10179901123047
30200,-119.42146301269531
30400,-117.09197235107422
30600,-118.43818664550781
30800,-121.90989685058594
31000,-248.0878448486328
31200,-124.73068237304688
31400,-0.40430501103401184
31600,-122.25503540039062
31800,-124.4568862915039
32000,-238.2279815673828
32200,-0.9820216298103333
32400,-116.60646057128906
32600,-0.553557813167572
32800,-125.83177947998047
33000,-126.26321411132812
33200,-119.5440673828125
33400,-0.8173872828483582
33600,-239.86151123046875
33800,-127.39247131347656
34000,-121.6965560913086
34200,-114.99378204345703
34400,-120.12406921386719
34600,-120.17542266845703
34800,-240.05389404296875
35000,-223.8003387451172
35200,-0.26795491576194763
35400,-1.3413901329040527
35600,-120.2257308959961
35800,-116.97718048095703
36000,-113.90260314941406
36200,-234.9026641845703
36400,-120.63973236083984
36600,-125.68753814697266
36800,-236.9600067138672
37000,-118.503662109375
37200,-236.3977508544922
37400,-231.08522033691406
37600,-0.3399682939052582
37800,-340.7011413574219
38000,-245.53103637695312
38200,-118.87714385986328
38400,-222.1204833984375
