global_step,return
200,-888.7833862304688
400,-734.5404663085938
600,-767.3758544921875
800,-1179.4761962890625
1000,-1090.904541015625
1200,-1320.7723388671875
1400,-1062.2540283203125
1600,-880.59814453125
1800,-985.6683959960938
2000,-782.1461181640625
2200,-1267.1771240234375
2400,-893.5906982421875
2600,-1275.5782470703125
2800,-1448.4903564453125
3000,-1825.5360107421875
3200,-878.0982055664062
3400,-1798.6654052734375
3600,-1168.5791015625
3800,-1532.3616943359375
4000,-1393.7730712890625
4200,-1598.801025390625
4400,-1035.509033203125
4600,-1609.3922119140625
4800,-1164.764404296875
5000,-866.4260864257812
5200,-1720.014404296875
5400,-1015.3807373046875
5600,-1617.5357666015625
5800,-1072.4879150390625
6000,-1354.813720703125
6200,-1683.203369140625
6400,-1410.8583984375
6600,-1328.6246337890625
6800,-1493.281005859375
7000,-1766.819091796875
7200,-989.1482543945312
7400,-799.896728515625
7600,-1066.1448974609375
7800,-1071.1131591796875
8000,-986.5120849609375
8200,-135.0229949951172
8400,-252.70010375976562
8600,-129.33123779296875
8800,-129.77174377441406
9000,-127.05999755859375
9200,-122.17313385009766
9400,-2.475764274597168
9600,-313.6354064941406
9800,-124.078125
10000,-125.78911590576172
10200,-335.9813537597656
10400,-262.8818054199219
10600,-329.1940002441406
10800,-122.60774993896484
11000,-125.62786865234375
11200,-118.1177978515625
11400,-119.82685089111328
11600,-2.8757500648498535
11800,-119.62157440185547
12000,-300.7214050292969
12200,-242.2498016357422
12400,-125.97639465332031
12600,-114.8931884765625
12800,-122.74015045166016
13000,-334.4135437011719
13200,-229.39627075195312
13400,-118.52664947509766
13600,-115.88737487792969
13800,-117.3149185180664
14000,-122.38812255859375
14200,-126.88495635986328
14400,-115.04749298095703
14600,-128.4282989501953
14800,-122.67398834228516
15000,-121.78665924072266
15200,-114.65147399902344
15400,-121.16361999511719
15600,-329.0250549316406
15800,-117.16464233398438
16000,-119.7999267578125
16200,-119.46371459960938
16400,-126.89331817626953
16600,-1.139184832572937
16800,-236.50169372558594
17000,-116.19230651855469
17200,-116.73716735839844
17400,-119.31095123291016
17600,-119.68244171142578
17800,-124.21013641357422
18000,-235.19131469726562
18200,-125.7678451538086
18400,-122.74947357177734
18600,-228.67160034179688
18800,-120.79926300048828
19000,-241.71205139160156
19200,-116.40951538085938
19400,-2.4688899517059326
19600,-117.41181945800781
19800,-222.95358276367188
20000,-0.7690620422363281
20200,-116.0278091430664
20400,-225.55807495117188
20600,-224.7354736328125
20800,-116.88108825683594
21000,-123.67813110351562
21200,-126.32115173339844
21400,-120.72449493408203
21600,-121.91737365722656
21800,-129.81832885742188
22000,-336.9267883300781
22200,-127.11473846435547
22400,-251.60812377929688
22600,-246.9500732421875
22800,-125.10848999023438
23000,-244.62672424316406
23200,-2.816211223602295
23400,-117.27131652832031
23600,-116.47523498535156
23800,-257.3697509765625
24000,-123.85133361816406
24200,-229.399658203125
24400,-250.52645874023438
24600,-246.91567993164062
24800,-227.95339965820312
25000,-117.49954986572266
25200,-225.6341094970703
25400,-121.93338012695312
25600,-4.066125869750977
25800,-121.26272583007812
26000,-227.63006591796875
26200,-228.65243530273438
26400,-2.3167216777801514
26600,-358.61871337890625
26800,-116.31122589111328
27000,-234.94754028320312
27200,-238.7161102294922
27400,-243.98023986816406
27600,-118.39900207519531
27800,-120.86222076416016
28000,-119.909423828125
28200,-229.53504943847656
28400,-130.15647888183594
28600,-125.63058471679688
28800,-126.25312805175781
29000,-354.5463562011719
29200,-120.88048553466797
29400,-7.842177391052246
29600,-124.61382293701172
29800,-125.66471099853516
30000,-230.02830505371094
30200,-133.02847290039062
30400,-126.59532928466797
30600,-229.56947326660156
30800,-3.7743561267852783
31000,-124.7686767578125
31200,-237.1275177001953
31400,-126.23242950439453
31600,-230.64596557617188
