global_step,return
200,-1165.607177734375
400,-1372.521484375
600,-958.01171875
800,-1157.4879150390625
1000,-1785.356201171875
1200,-765.8925170898438
1400,-1398.41650390625
1600,-1572.5469970703125
1800,-1175.774658203125
2000,-1231.57861328125
2200,-1652.6468505859375
2400,-1036.4364013671875
2600,-1167.789306640625
2800,-1071.4320068359375
3000,-756.163818359375
3200,-1127.9395751953125
3400,-742.01611328125
3600,-1687.2601318359375
3800,-1255.4906005859375
4000,-1346.7930908203125
4200,-1306.5408935546875
4400,-1704.2034912109375
4600,-963.1513061523438
4800,-1752.281005859375
5000,-1191.27197265625
5200,-1684.2479248046875
5400,-1770.60302734375
5600,-1476.1783447265625
5800,-1310.7264404296875
6000,-1350.1143798828125
6200,-1617.3665771484375
6400,-1321.2978515625
6600,-1359.4066162109375
6800,-1570.4937744140625
7000,-1471.4453125
7200,-901.229736328125
7400,-1059.97998046875
7600,-900.5164184570312
7800,-902.5750122070312
8000,-921.026611328125
8200,-254.915283203125
8400,-127.087646484375
8600,-129.9117431640625
8800,-363.53631591796875
9000,-369.7352294921875
9200,-125.3080825805664
9400,-0.9852628111839294
9600,-128.33628845214844
9800,-356.419189453125
10000,-241.1162872314453
10200,-116.82075500488281
10400,-126.4524917602539
10600,-1.7219650745391846
10800,-250.24169921875
11000,-226.67091369628906
11200,-1562.3216552734375
11400,-245.23458862304688
11600,-1595.706298828125
11800,-1589.8729248046875
12000,-121.58702087402344
12200,-2.2220492362976074
12400,-238.67562866210938
12600,-116.64204406738281
12800,-121.55218505859375
13000,-119.81847381591797
13200,-225.0789031982422
13400,-120.42356872558594
13600,-243.72796630859375
13800,-123.12033081054688
14000,-1.2213695049285889
14200,-118.48845672607422
14400,-1.4609986543655396
14600,-236.99855041503906
14800,-120.753662109375
15000,-238.9218292236328
15200,-241.27455139160156
15400,-122.92285919189453
15600,-0.7258499264717102
15800,-119.16014862060547
16000,-1.4133931398391724
16200,-114.06558227539062
16400,-126.6876220703125
16600,-332.00177001953125
16800,-119.63993072509766
17000,-121.77909851074219
17200,-115.51303100585938
17400,-247.9546661376953
17600,-124.31471252441406
17800,-1.3739336729049683
18000,-122.28763580322266
18200,-125.68749237060547
18400,-226.39736938476562
18600,-1.130497932434082
18800,-123.02831268310547
19000,-125.86107635498047
19200,-116.40190124511719
19400,-234.36859130859375
19600,-122.44633483886719
19800,-122.29468536376953
20000,-122.91746520996094
20200,-230.2130126953125
20400,-116.49345397949219
20600,-123.26589965820312
20800,-119.79261779785156
21000,-240.60450744628906
21200,-123.98017883300781
21400,-119.53446960449219
21600,-120.29129791259766
21800,-244.5155792236328
22000,-118.27021789550781
